광고ID,매체ID,누적 전환 수,도메인,광고 종료일,목표 전환 수,달성률
2595.0,54.0,33.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,246.0,3.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,270.0,18.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,290.0,0.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,337.0,19.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,389.0,1.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,482.0,0.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,583.0,100.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,630.0,1.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,761.0,9.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,790.0,26.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
2595.0,817.0,1.0,생활서비스,2030-12-27 00:00:00,제한없음,제한없음
6667.0,22.0,373.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,28.0,6.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,30.0,6.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,54.0,1085.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,87.0,3.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,212.0,8.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,213.0,15934.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,246.0,43.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,270.0,259.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,281.0,25.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,291.0,2.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,337.0,118.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,370.0,0.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,371.0,557.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,389.0,8.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,398.0,142.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,401.0,110.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,409.0,0.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,411.0,1.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,413.0,0.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,422.0,3.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,431.0,3.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,442.0,176.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,453.0,0.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,456.0,0.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,462.0,0.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,482.0,1.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
6667.0,485.0,66.0,유틸리티/툴,2030-01-01 00:00:00,제한없음,제한없음
