광고ID,매체ID,누적 전환 수,도메인,광고 종료일,목표 전환 수
2595,54,33,생활서비스,2030-12-27 00:00:00,제한없음
2595,246,3,생활서비스,2030-12-27 00:00:00,제한없음
2595,270,18,생활서비스,2030-12-27 00:00:00,제한없음
2595,290,0,생활서비스,2030-12-27 00:00:00,제한없음
2595,337,19,생활서비스,2030-12-27 00:00:00,제한없음
2595,389,1,생활서비스,2030-12-27 00:00:00,제한없음
2595,482,0,생활서비스,2030-12-27 00:00:00,제한없음
2595,583,100,생활서비스,2030-12-27 00:00:00,제한없음
2595,630,1,생활서비스,2030-12-27 00:00:00,제한없음
2595,761,9,생활서비스,2030-12-27 00:00:00,제한없음
2595,790,26,생활서비스,2030-12-27 00:00:00,제한없음
6667,22,373,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,28,6,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,30,6,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,54,1085,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,87,3,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,212,8,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,213,15934,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,246,43,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,270,259,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,281,25,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,291,2,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,337,118,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,370,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,371,557,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,389,8,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,398,142,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,401,110,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,409,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,411,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,413,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,422,3,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,431,3,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,442,176,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,453,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,456,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,462,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,482,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,485,66,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,492,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,496,1997,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,508,7,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,514,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,515,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,516,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,517,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,518,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,524,41,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,525,6,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,527,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,528,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,530,42,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,532,31,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,533,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,534,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,544,2,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,545,133,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,547,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,550,11,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,554,12,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,564,387,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,566,10,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,568,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,573,5,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,576,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,577,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,578,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,579,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,582,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,583,48,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,590,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,593,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,599,4,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,600,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,602,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,603,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,605,11,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,607,11,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,621,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,628,32,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,630,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,634,7,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,636,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,637,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,638,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,639,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,640,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,645,23,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,646,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,653,5,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,674,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,675,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,676,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,677,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,678,7,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,682,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,683,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,684,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,685,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,686,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,687,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,688,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,700,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,701,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,702,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,703,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,711,285,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,718,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,725,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,739,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,740,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,756,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,757,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,758,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,759,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,760,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,761,124,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,767,7,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,770,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,772,9,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,774,18,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,778,14,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,782,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,790,27,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,791,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,792,10,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,796,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,797,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,798,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,799,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,801,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,802,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,804,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,805,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,806,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,807,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
6667,808,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
7377,22,633,유틸리티/툴,2026-04-01 00:00:00,제한없음
7377,30,11,유틸리티/툴,2026-04-01 00:00:00,제한없음
7377,54,144,유틸리티/툴,2026-04-01 00:00:00,제한없음
7377,87,4451,유틸리티/툴,2026-04-01 00:00:00,제한없음
7377,212,1,유틸리티/툴,2026-04-01 00:00:00,제한없음
7377,213,23570,유틸리티/툴,2026-04-01 00:00:00,제한없음
7377,246,3,유틸리티/툴,2026-04-01 00:00:00,제한없음
7377,270,58,유틸리티/툴,2026-04-01 00:00:00,제한없음
7377,294,227,유틸리티/툴,2026-04-01 00:00:00,제한없음
7377,337,18,유틸리티/툴,2026-04-01 00:00:00,제한없음
7377,371,2,유틸리티/툴,2026-04-01 00:00:00,제한없음
